Hugo_Symbol	type	freq	data	class	n.samples	n.patients
KDM6A	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
ASXL2	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
IGF1R	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
PMS1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
BLM	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
PTEN	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
NOTCH2	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
PTCH1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
ATR	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
FBXW7	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
ATM	TNBC	0	brca_igr_2015	Metastasis	51	51
MTOR	TNBC	0	brca_igr_2015	Metastasis	51	51
BIVM-ERCC5	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
CBFB	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
FANCD2	TNBC	0	brca_igr_2015	Metastasis	51	51
ERBB3	TNBC	0	brca_igr_2015	Metastasis	51	51
CARD11	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
ALK	TNBC	0	brca_igr_2015	Metastasis	51	51
AKAP9	TNBC	0	brca_igr_2015	Metastasis	51	51
ERBB2	TNBC	0	brca_igr_2015	Metastasis	51	51
TBX3	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
PTPRD	TNBC	0	brca_igr_2015	Metastasis	51	51
KIT	TNBC	0	brca_igr_2015	Metastasis	51	51
CTCF	TNBC	0	brca_igr_2015	Metastasis	51	51
TSC1	TNBC	0	brca_igr_2015	Metastasis	51	51
NCOR1	TNBC	0	brca_igr_2015	Metastasis	51	51
MITF	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
MAPK1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
NTRK3	TNBC	0	brca_igr_2015	Metastasis	51	51
XPO1	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
EGFR	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
GNAQ	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
MAP3K13	TNBC	0	brca_igr_2015	Metastasis	51	51
JAK1	TNBC	0	brca_igr_2015	Metastasis	51	51
MLH1	TNBC	0	brca_igr_2015	Metastasis	51	51
PRDM1	TNBC	0	brca_igr_2015	Metastasis	51	51
TSC2	TNBC	0	brca_igr_2015	Metastasis	51	51
PIK3R1	TNBC	0	brca_igr_2015	Metastasis	51	51
PIK3CG	TNBC	0	brca_igr_2015	Metastasis	51	51
PBRM1	TNBC	0	brca_igr_2015	Metastasis	51	51
ATRX	TNBC	0	brca_igr_2015	Metastasis	51	51
PARP1	TNBC	0	brca_igr_2015	Metastasis	51	51
TSHR	TNBC	0	brca_igr_2015	Metastasis	51	51
UBR5	TNBC	0	brca_igr_2015	Metastasis	51	51
APC	TNBC	0	brca_igr_2015	Metastasis	51	51
KRAS	TNBC	0	brca_igr_2015	Metastasis	51	51
SF3B1	TNBC	0	brca_igr_2015	Metastasis	51	51
SMO	TNBC	0	brca_igr_2015	Metastasis	51	51
CDKN1B	TNBC	0	brca_igr_2015	Metastasis	51	51
FH	TNBC	0	brca_igr_2015	Metastasis	51	51
TAF1	TNBC	0.0392	brca_igr_2015	Metastasis	51	51
BCL6	TNBC	0	brca_igr_2015	Metastasis	51	51
GPR124	TNBC	0	brca_igr_2015	Metastasis	51	51
CDH1	TNBC	0	brca_igr_2015	Metastasis	51	51
PPP2R1A	TNBC	0	brca_igr_2015	Metastasis	51	51
CHEK2	TNBC	0	brca_igr_2015	Metastasis	51	51
PAX5	TNBC	0	brca_igr_2015	Metastasis	51	51
CBL	TNBC	0	brca_igr_2015	Metastasis	51	51
CDK12	TNBC	0	brca_igr_2015	Metastasis	51	51
PDE4DIP	TNBC	0	brca_igr_2015	Metastasis	51	51
KDM5C	TNBC	0	brca_igr_2015	Metastasis	51	51
NSD1	TNBC	0	brca_igr_2015	Metastasis	51	51
AR	TNBC	0	brca_igr_2015	Metastasis	51	51
SMAD4	TNBC	0	brca_igr_2015	Metastasis	51	51
FGFR4	TNBC	0	brca_igr_2015	Metastasis	51	51
MYCN	TNBC	0	brca_igr_2015	Metastasis	51	51
ARID5B	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
LIFR	TNBC	0	brca_igr_2015	Metastasis	51	51
EZH2	TNBC	0	brca_igr_2015	Metastasis	51	51
EPHA3	TNBC	0	brca_igr_2015	Metastasis	51	51
MDM2	TNBC	0	brca_igr_2015	Metastasis	51	51
CIC	TNBC	0	brca_igr_2015	Metastasis	51	51
FOXP1	TNBC	0	brca_igr_2015	Metastasis	51	51
DDR2	TNBC	0	brca_igr_2015	Metastasis	51	51
IKZF1	TNBC	0	brca_igr_2015	Metastasis	51	51
PIK3CD	TNBC	0.0196	brca_igr_2015	Metastasis	51	51
ERCC4	TNBC	0	brca_igr_2015	Metastasis	51	51
FGFR1	TNBC	0	brca_igr_2015	Metastasis	51	51
RAF1	TNBC	0	brca_igr_2015	Metastasis	51	51
ABL1	TNBC	0	brca_igr_2015	Metastasis	51	51
CCND3	TNBC	0	brca_igr_2015	Metastasis	51	51
HRAS	TNBC	0	brca_igr_2015	Metastasis	51	51
MEN1	TNBC	0	brca_igr_2015	Metastasis	51	51
