Gene stable ID	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Karyotype band	Gene name
ENSG00000268993	121142051	121142438	1	p11.2	RPL22P6
ENSG00000188610	121167646	121185539	1	p11.2	FAM72B
ENSG00000171943	121184811	121392874	1	p11.2	SRGAP2C
ENSG00000275129	121314947	121315055	1	p11.2	AC243994.1
ENSG00000230806	121360156	121398806	1	p11.2	SRGAP2-AS1
ENSG00000227082	121396754	121463508	1	p11.2	LINC02798
ENSG00000228826	121494329	121511588	1	p11.2	AL592494.1
ENSG00000233432	121502344	121503891	1	p11.2	MTIF2P1
ENSG00000272583	121518366	121518829	1	p11.2	AL592494.2
ENSG00000231752	121519112	121575702	1	p11.2	EMBP1
ENSG00000224857	121573946	121580524	1	p11.2	LINC01691
ENSG00000276118	143343180	143343275	1	q21.1	AC242852.1
ENSG00000277095	143354191	143386122	1	q21.1	AC242852.2
ENSG00000277702	143419625	143420207	1	q21.1	AC239859.5
ENSG00000252830	143439605	143439714	1	q21.1	RNA5SP533
ENSG00000264145	143449571	143450245	1	q21.1	AC239859.3
ENSG00000274927	143461221	143498767	1	q21.1	AC239859.4
ENSG00000242943	143487772	143488353	1	q21.1	NKAIN1P1
ENSG00000223495	143498785	143499102	1	q21.1	AC239859.2
ENSG00000235887	143499187	143500512	1	q21.1	LINC02799
ENSG00000203825	143541768	143572834	1	q21.1	AC239859.1
ENSG00000179571	143595216	143635641	1	q21.1	NBPF17P
ENSG00000226028	143619994	143620527	1	q21.1	PFN1P12
ENSG00000202167	143652050	143652215	1	q21.1	RNU1-114P
ENSG00000207349	143699456	143699619	1	q21.1	RNVU1-17
ENSG00000252826	143720510	143720644	1	q21.1	RNVU1-23
ENSG00000206737	143729407	143729570	1	q21.1	RNVU1-18
ENSG00000232721	143736066	143739506	1	q21.1	AC239800.2
ENSG00000223779	143745249	143760669	1	q21.1	AC239800.1
ENSG00000242352	143766540	143769083	1	q21.1	FAM91A3P
ENSG00000270962	143784376	143784671	1	q21.1	AC239800.3
ENSG00000263590	143790010	143797108	1	q21.1	LINC02591
ENSG00000252105	143791542	143791687	1	q21.1	RNU1-143P
ENSG00000233430	143811359	143825837	1	q21.1	AC239798.1
ENSG00000237503	143846097	143846504	1	q21.1	AC239798.2
ENSG00000265531	143874793	143883575	1	q21.1	FCGR1CP
ENSG00000234571	143875171	143904650	1	q21.1	H2BP2
ENSG00000273213	143894544	143905966	1	q21.1	H3-2
ENSG00000230186	143905487	143934776	1	q21.1	AC246680.1
ENSG00000268074	143929994	143930382	1	q21.1	RPL22P5
ENSG00000263513	143955364	143971965	1	q21.1	FAM72C
ENSG00000270872	143975087	144068350	1	q21.1	SRGAP2D
ENSG00000276674	144085628	144086098	1	q21.1	IGKV1OR1-1
ENSG00000275075	144168752	144168850	1	q21.1	AC244015.1
ENSG00000275767	144179777	144211729	1	q21.1	AC244015.2
ENSG00000232527	144227029	144250326	1	q21.1	LINC02802
ENSG00000276442	144265217	144265326	1	q21.1	RNA5SP529
ENSG00000175658	144274892	144277993	1	q21.1	DRD5P2
ENSG00000276756	144276484	144305180	1	q21.1	AC245595.1
ENSG00000271567	144372875	144373659	1	q21.1	PPIAL4E
ENSG00000271439	144401069	144401355	1	q21.1	AC246785.4
ENSG00000207205	144412576	144412740	1	q21.1	RNVU1-15
ENSG00000237343	144418113	144419192	1	q21.1	AC246785.3
ENSG00000233586	144418678	144419190	1	q21.1	AC246785.2
ENSG00000266338	144421386	144461674	1	q21.1	NBPF15
ENSG00000227212	144442606	144443004	1	q21.1	PFN1P6
ENSG00000229002	144472535	144474790	1	q21.1	AC246785.1
ENSG00000275291	144523860	144524021	1	q21.1	RNVU1-26
ENSG00000278099	144551779	144551943	1	q21.1	RNVU1-2A
ENSG00000277918	144560666	144560829	1	q21.1	RNVU1-28
ENSG00000279782	144592868	144593652	1	q21.1	PPIAL4F
ENSG00000277199	144627192	144642372	1	q21.1	LINC01632
ENSG00000224363	144641371	144919902	1	q21.1	FP700111.1
ENSG00000278273	144661200	144679513	1	q21.1	FP700107.1
ENSG00000222854	144701050	144701159	1	q21.1	RNA5SP59
ENSG00000273825	144754572	144786606	1	q21.1	FP700111.2
ENSG00000287607	144797534	144797632	1	q21.1	FP700111.3
ENSG00000196369	144887265	145095528	1	q21.1	SRGAP2B
ENSG00000271644	144965025	144965135	1	q21.1	AC242498.1
ENSG00000215784	145095974	145112696	1	q21.1	FAM72D
ENSG00000283752	145139986	145148375	1	q21.1	AC241585.3
ENSG00000272419	145164099	145216058	1	q21.1	LINC01145
ENSG00000277678	145169519	145169664	1	q21.1	RNU1-153P
ENSG00000281571	145214851	145215938	1	q21.1	AC241585.2
ENSG00000223612	145233001	145233519	1	q21.1	AC241585.1
ENSG00000256374	145241630	145242124	1	q21.1	PPIAL4D
ENSG00000271291	145269604	145269890	1	q21.1	AC245014.2
ENSG00000276216	145281116	145281462	1	q21.1	AC245014.3
ENSG00000207501	145281116	145281279	1	q21.1	RNVU1-14
ENSG00000236140	145286610	145287755	1	q21.1	AC245014.1
ENSG00000162825	145289900	145405778	1	q21.1	NBPF20
ENSG00000234367	145407772	145408173	1	q21.1	PFN1P3
ENSG00000270384	145431527	145431693	1	q21.1	RNU1-154P
ENSG00000286620	145459798	145462007	1	q21.1	AC239860.3
ENSG00000270722	145465617	145465780	1	q21.1	RNVU1-31
ENSG00000287374	145475606	145480999	1	q21.1	AC239860.4
ENSG00000278182	145507444	145508607	1	q21.1	AC239860.2
ENSG00000275064	145509047	145520594	1	q21.1	AC239860.1
ENSG00000272150	145572345	145607858	1	q21.1	NBPF25P
ENSG00000117262	145607988	145670650	1	q21.1	GPR89A
ENSG00000174827	145670852	145708148	1	q21.1	PDZK1
ENSG00000117281	145719471	145739288	1	q21.1	CD160
ENSG00000265491	145738868	145824095	1	q21.1	RNF115
ENSG00000186141	145824088	145844402	1	q21.1	POLR3C
ENSG00000186364	145845630	145848954	1	q21.1	NUDT17
ENSG00000131788	145848522	145859836	1	q21.1	PIAS3
ENSG00000278549	145850587	145850645	1	q21.1	MIR6736
ENSG00000198483	145866560	145885866	1	q21.1	ANKRD35
ENSG00000143127	145891208	145910111	1	q21.1	ITGA10
ENSG00000244619	145892847	145893483	1	q21.1	AC243547.1
ENSG00000131779	145911350	145918717	1	q21.1	PEX11B
ENSG00000265241	145917714	145927678	1	q21.1	RBM8A
ENSG00000211451	145919013	145925341	1	q21.1	GNRHR2
ENSG00000234222	145926590	145959179	1	q21.1	LIX1L-AS1
ENSG00000280778	145927258	145977811	1	q21.1	AC243547.3
ENSG00000271601	145933423	145958017	1	q21.1	LIX1L
ENSG00000272031	145959441	145964575	1	q21.1	ANKRD34A
ENSG00000278431	145961388	145964422	1	q21.1	AC243547.2
ENSG00000121851	145964690	145978848	1	q21.1	POLR3GL
ENSG00000265972	145992435	145996579	1	q21.1	TXNIP
ENSG00000168509	146017468	146036746	1	q21.1	HJV
ENSG00000287190	146050441	146052244	1	q21.1	AC239799.2
ENSG00000201558	146052081	146052244	1	q21.1	RNVU1-6
ENSG00000233396	146052566	146061948	1	q21.1	LINC01719
ENSG00000271425	146064711	146229000	1	q21.1	NBPF10
ENSG00000264343	146146203	146229026	1	q21.1	NOTCH2NLA
ENSG00000276509	146235806	146237807	1	q21.1	AC239799.1
ENSG00000201789	146288596	146288696	1	q21.1	RNU6-1071P
ENSG00000271121	146298170	146298715	1	q21.1	NUDT4P2
ENSG00000277406	146321214	146401647	1	q21.1	SEC22B4P
ENSG00000270339	146344131	146344790	1	q21.1	PPIAL4H
ENSG00000273768	146376807	146376970	1	q21.1	RNVU1-29
ENSG00000287978	146387202	146388092	1	q21.1	AC245407.2
ENSG00000274428	146409903	146410062	1	q21.1	RNVU1-25
ENSG00000277655	146459449	146461859	1	q21.1	AC245407.1
ENSG00000276975	146472566	146914294	1	q21.1	HYDIN2
ENSG00000274408	146539541	146539663	1	q21.1	RNA5SP536
ENSG00000274450	146862729	146862845	1	q21.1	AC241929.1
ENSG00000268043	146938744	146996202	1	q21.1	NBPF12
ENSG00000244371	146957117	146957659	1	q21.1	PFN1P8
ENSG00000234225	147001931	147003618	1	q21.1	AC244394.2
ENSG00000227242	147019656	147056593	1	q21.1	NBPF13P
ENSG00000225603	147050817	147052481	1	q21.1	AC244394.1
ENSG00000201142	147079746	147079870	1	q21.1	RNU1-151P
ENSG00000230832	147082338	147083578	1	q21.1	AC241584.1
ENSG00000286172	147084616	147084756	1	q21.1	RNVU1-8
ENSG00000283342	147099482	147124285	1	q21.1	AC241584.2
ENSG00000131791	147155106	147172550	1	q21.1	PRKAB2
ENSG00000180867	147172744	147179622	1	q21.1	PDIA3P1
ENSG00000237188	147172755	147295734	1	q21.1	AC242426.2
ENSG00000131781	147175351	147243050	1	q21.1	FMO5
ENSG00000226015	147203276	147204932	1	q21.1	CCT8P1
ENSG00000236806	147223554	147224348	1	q21.1	RPL7AP15
ENSG00000131778	147242654	147295765	1	q21.1	CHD1L
ENSG00000278811	147258885	147517875	1	q21.2	LINC00624
ENSG00000213226	147319110	147320224	1	q21.1	AC242426.1
ENSG00000226653	147419053	147419900	1	q21.1	OR13Z1P
ENSG00000207209	147420199	147420300	1	q21.1	AC242425.1
ENSG00000272443	147445579	147446133	1	q21.1	OR13Z2P
ENSG00000272480	147482238	147482628	1	q21.1	OR13Z3P
ENSG00000116128	147541501	147626216	1	q21.2	BCL9
ENSG00000288626	147611590	147611796	1	q21.2	AC242628.1
ENSG00000162836	147629652	147670524	1	q21.2	ACP6
ENSG00000277762	147689256	147689537	1	q21.2	RN7SL261P
ENSG00000227139	147697794	147699335	1	q21.2	AC241644.1
ENSG00000265107	147756199	147773362	1	q21.2	GJA5
ENSG00000274415	147757185	147758434	1	q21.2	AC241644.3
ENSG00000234190	147777590	147788953	1	q21.2	AC241644.2
ENSG00000223728	147840962	147842359	1	q21.2	AC239801.1
ENSG00000121634	147902795	147909269	1	q21.2	GJA8
ENSG00000188092	147928393	147993592	1	q21.2	GPR89B
ENSG00000215859	147993862	148014956	1	q21.2	PDZK1P1
ENSG00000273059	148011799	148012228	1	q21.2	AC239803.1
ENSG00000274372	148013203	148025934	1	q21.2	LINC02804
ENSG00000206791	148014417	148014583	1	q21.2	RNU1-129P
ENSG00000206585	148038753	148038916	1	q21.2	RNVU1-7
ENSG00000229828	148080598	148093883	1	q21.2	PDE4DIPP1
ENSG00000263956	148102046	148152322	1	q21.2	NBPF11
ENSG00000225080	148129497	148129898	1	q21.2	PFN1P4
ENSG00000198658	148146395	148149566	1	q21.2	ABHD17AP1
ENSG00000232265	148156139	148186980	1	q21.2	LINC02805
ENSG00000227733	148159213	148255012	1	q21.2	AC239809.3
ENSG00000238765	148193716	148193838	1	q21.2	RNA5SP57
ENSG00000224335	148234273	148234489	1	q21.2	AC239809.1
ENSG00000227700	148246169	148246685	1	q21.2	AC239809.2
ENSG00000199879	148263476	148263632	1	q21.2	RNVU1-22
ENSG00000234283	148271884	148280749	1	q21.2	LINC01731
ENSG00000228626	148288001	148288951	1	q21.2	AC245100.3
ENSG00000274020	148290889	148519604	1	q21.2	LINC01138
ENSG00000238107	148295180	148297556	1	q21.2	LINC02806
ENSG00000224481	148295895	148344638	1	q21.2	AC245100.1
ENSG00000235988	148317683	148318013	1	q21.2	AC245100.5
ENSG00000252744	148330271	148330394	1	q21.2	Y_RNA
ENSG00000283676	148334479	148334554	1	q21.2	MIR5087
ENSG00000202408	148334612	148334767	1	q21.2	RNVU1-21
ENSG00000272824	148358245	148358686	1	q21.2	AC245100.6
ENSG00000207340	148362370	148362533	1	q21.2	RNVU1-1
ENSG00000252135	148385829	148385963	1	q21.2	RNU1-155P
ENSG00000278596	148388282	148388363	1	q21.2	MIR6077
ENSG00000238825	148388490	148388651	1	q21.2	RNVU1-2
ENSG00000231551	148402516	148432545	1	q21.2	AC245100.4
ENSG00000201183	148402715	148402875	1	q21.2	RNVU1-3
ENSG00000225871	148435105	148436926	1	q21.2	AC245100.2
ENSG00000285062	148458643	148459689	1	q21.2	AC245100.8
ENSG00000280649	148458814	148459871	1	q21.2	AC245100.7
ENSG00000236334	148479824	148483679	1	q21.2	PPIAL4G
ENSG00000274210	148522601	148522765	1	q21.2	RNVU1-27
ENSG00000270629	148531385	148679742	1	q21.2	NBPF14
ENSG00000286019	148607040	148679779	1	q21.2	NOTCH2NLB
ENSG00000252515	148739379	148739479	1	q21.2	RNU6-1171P
ENSG00000177144	148748894	148750099	1	q21.2	NUDT4B
ENSG00000275140	148772640	148784594	1	q21.2	SEC22B3P
ENSG00000271546	148795797	148796325	1	q21.2	AC245389.1
ENSG00000178104	148808181	149048286	1	q21.2	PDE4DIP
ENSG00000252656	148839483	148839732	1	q21.2	RN7SKP88
ENSG00000222788	148939739	148939817	1	q21.2	RNU2-38P
ENSG00000254913	149006309	149009527	1	q21.2	AC239802.1
ENSG00000255148	149018671	149026269	1	q21.2	AC239802.2
ENSG00000254539	149048576	149051273	1	q21.2	AC239804.1
ENSG00000269713	149054027	149103561	1	q21.2	NBPF9
ENSG00000274019	149111304	149121866	1	q21.2	AC239804.2
ENSG00000201699	149162783	149162944	1	q21.2	RNVU1-24
ENSG00000274265	149175748	149259987	1	q21.2	AC245297.3
ENSG00000215861	149197992	149321732	1	q21.2	AC245297.1
ENSG00000272755	149264252	149264816	1	q21.2	AC245297.2
ENSG00000273591	149290513	149290762	1	q21.2	7SK
ENSG00000274423	149345661	149357612	1	q21.2	SEC22B2P
ENSG00000286219	149390614	149468030	1	q21.2	NOTCH2NLC
ENSG00000286185	149390623	149556361	1	q21.2	AC242842.3
ENSG00000271383	149475338	149556361	1	q21.2	NBPF19
ENSG00000263464	149583865	149584464	1	q21.2	PPIAL4C
ENSG00000277147	149606334	149705716	1	q21.2	LINC00869
ENSG00000284964	149607467	149608516	1	q21.2	AC242842.2
ENSG00000275557	149607765	149612402	1	q21.2	AC242842.1
ENSG00000206828	149636766	149636929	1	q21.2	RNVU1-30
ENSG00000284842	149675205	149677740	1	q21.2	FAM91A2P
ENSG00000234232	149676851	149747818	1	q21.2	AC243772.3
ENSG00000275229	149700151	149700296	1	q21.2	RNU1-68P
ENSG00000226500	149754301	149754710	1	q21.2	AC243772.1
ENSG00000150337	149782671	149792518	1	q21.2	FCGR1A
ENSG00000203814	149782689	149812373	1	q21.2	H2BC18
ENSG00000233030	149785659	149793020	1	q21.2	AC243772.2
ENSG00000183598	149813225	149813693	1	q21.2	H3C13
ENSG00000270882	149832659	149839767	1	q21.2	H4C14
ENSG00000203811	149839538	149841193	1	q21.2	H3C14
ENSG00000203812	149842188	149842736	1	q21.2	H2AC18
ENSG00000220323	149842875	149846486	1	q21.2	H2BC19P
ENSG00000261716	149844498	149850937	1	q21.2	H2BC20P
ENSG00000272196	149851061	149851624	1	q21.2	H2AC19
ENSG00000203852	149852619	149854274	1	q21.2	H3C15
ENSG00000270276	149854045	149861210	1	q21.2	H4C15
ENSG00000264207	149861271	149862504	1	q21.2	AC239868.1
ENSG00000184678	149884459	149886652	1	q21.2	H2BC21
ENSG00000184260	149886918	149887411	1	q21.2	H2AC20
ENSG00000184270	149887469	149887965	1	q21.2	H2AC21
ENSG00000178096	149887890	149900798	1	q21.2	BOLA1
ENSG00000159164	149903318	149917844	1	q21.2	SV2A
ENSG00000143368	149923317	149927803	1	q21.2	SF3B4
ENSG00000014914	149928651	149936879	1	q21.2	MTMR11
ENSG00000264522	149937812	150010726	1	q21.2	OTUD7B
ENSG00000285184	150045660	150067701	1	q21.2	AC244033.2
ENSG00000223945	150053864	150055034	1	q21.2	AC244033.1
ENSG00000136631	150067279	150145329	1	q21.2	VPS45
ENSG00000023902	150149183	150164720	1	q21.2	PLEKHO1
ENSG00000285554	150173049	150181429	1	q21.2	AC242988.2
ENSG00000266187	150211632	150211925	1	q21.2	RN7SL480P
ENSG00000143401	150218417	150236156	1	q21.2	ANP32E
ENSG00000222222	150236967	150237156	1	q21.2	RNU2-17P
ENSG00000276110	150255095	150257286	1	q21.2	AC242988.1
ENSG00000118298	150257251	150265078	1	q21.2	CA14
ENSG00000117362	150265399	150269580	1	q21.2	APH1A
ENSG00000118292	150268200	150280916	1	q21.2	C1orf54
ENSG00000159208	150282543	150287093	1	q21.2	CIART
ENSG00000266472	150293861	150308979	1	q21.2	MRPS21
ENSG00000117360	150321479	150353233	1	q21.2	PRPF3
ENSG00000163125	150363091	150476566	1	q21.2	RPRD2
ENSG00000143374	150487364	150507609	1	q21.2	TARS2
ENSG00000283933	150492345	150492410	1	q21.2	MIR6878
ENSG00000143369	150508062	150513789	1	q21.2	ECM1
ENSG00000228126	150515757	150518032	1	q21.2	FALEC
ENSG00000237781	150548562	150557724	1	q21.2	ADAMTSL4-AS2
ENSG00000143382	150549369	150560937	1	q21.2	ADAMTSL4
ENSG00000264553	150551929	150552014	1	q21.2	MIR4257
ENSG00000203804	150560202	150574552	1	q21.2	ADAMTSL4-AS1
ENSG00000277452	150566562	150566860	1	q21.2	RN7SL473P
ENSG00000274963	150568971	150569269	1	q21.2	RN7SL600P
ENSG00000143384	150574551	150579738	1	q21.2	MCL1
ENSG00000253047	150600539	150600659	1	q21.3	AL356356.1
ENSG00000143420	150600851	150629612	1	q21.3	ENSA
ENSG00000276103	150608507	150608623	1	q21.3	U4
ENSG00000143457	150646230	150697154	1	q21.3	GOLPH3L
ENSG00000143452	150698060	150720895	1	q21.3	HORMAD1
ENSG00000206931	150701866	150701972	1	q21.3	RNU6-1042P
ENSG00000163131	150730188	150765792	1	q21.3	CTSS
ENSG00000236713	150780272	150780644	1	q21.3	AL356292.1
ENSG00000143387	150796208	150808260	1	q21.3	CTSK
ENSG00000224690	150800473	150801031	1	q21.3	UBE2D3P3
ENSG00000143437	150809713	150876708	1	q21.3	ARNT
ENSG00000200175	150812591	150812698	1	q21.3	RNU6-1309P
ENSG00000224800	150881236	150881683	1	q21.3	RPS27AP6
ENSG00000283324	150887136	150913292	1	q21.3	CTXND2
ENSG00000229357	150903896	150904213	1	q21.3	CYCSP51
ENSG00000143379	150926263	150964744	1	q21.3	SETDB1
ENSG00000143418	150960583	150975003	1	q21.3	CERS2
ENSG00000259357	150965245	150966256	1	q21.3	AL590133.2
ENSG00000231073	150973123	150975534	1	q21.3	AL590133.1
ENSG00000143412	150982249	150995634	1	q21.3	ANXA9
ENSG00000143409	150996086	151008375	1	q21.3	MINDY1
ENSG00000143363	151008420	151035713	1	q21.3	PRUNE1
ENSG00000200759	151022746	151022852	1	q21.3	RNU6-884P
ENSG00000163141	151036321	151047720	1	q21.3	BNIPL
ENSG00000143443	151047751	151051986	1	q21.3	C1orf56
ENSG00000197622	151050971	151070325	1	q21.3	CDC42SE1
ENSG00000213190	151060397	151069544	1	q21.3	MLLT11
ENSG00000143458	151070578	151125542	1	q21.3	GABPB2
ENSG00000233717	151111912	151112728	1	q21.3	RPS29P29
ENSG00000261168	151130075	151131610	1	q21.3	AL592424.1
ENSG00000143434	151131685	151146664	1	q21.3	SEMA6C
ENSG00000163154	151156649	151159749	1	q21.3	TNFAIP8L2
ENSG00000163156	151156664	151170296	1	q21.3	SCNM1
ENSG00000163155	151159748	151165948	1	q21.3	LYSMD1
ENSG00000163157	151169986	151176284	1	q21.3	TMOD4
ENSG00000163159	151176304	151195321	1	q21.3	VPS72
ENSG00000143398	151197949	151249536	1	q21.3	PIP5K1A
ENSG00000159352	151254709	151267479	1	q21.3	PSMD4
ENSG00000232671	151279678	151281950	1	q21.3	ZNF687-AS1
ENSG00000143373	151281618	151292176	1	q21.3	ZNF687
ENSG00000143393	151291797	151327715	1	q21.3	PI4KB
ENSG00000265753	151300665	151300964	1	q21.3	RN7SL444P
ENSG00000273481	151327949	151328429	1	q21.3	AL391069.2
ENSG00000143390	151340640	151347357	1	q21.3	RFX5
ENSG00000224645	151340648	151341966	1	q21.3	AL391069.1
ENSG00000237976	151346967	151348027	1	q21.3	RFX5-AS1
ENSG00000143416	151364304	151372707	1	q21.3	SELENBP1
ENSG00000159377	151399560	151401937	1	q21.3	PSMB4
ENSG00000143442	151402724	151459494	1	q21.3	POGZ
ENSG00000238711	151439000	151439095	1	q21.3	RNY4P25
ENSG00000143375	151510510	151538692	1	q21.3	CGN
ENSG00000252840	151527831	151527938	1	q21.3	AL365436.3
ENSG00000143367	151540305	151583583	1	q21.3	TUFT1
ENSG00000232536	151540516	151561855	1	q21.3	AL365436.2
ENSG00000207606	151545796	151545891	1	q21.3	MIR554
ENSG00000223861	151557446	151557940	1	q21.3	AL365436.1
ENSG00000143376	151612006	151699091	1	q21.3	SNX27
ENSG00000250734	151612038	151613363	1	q21.3	AL391335.1
ENSG00000206635	151629324	151629430	1	q21.3	RNU6-1062P
ENSG00000159409	151700058	151716803	1	q21.3	CELF3
ENSG00000227045	151701026	151708386	1	q21.3	AL589765.1
ENSG00000178796	151710433	151729805	1	q21.3	RIIAD1
ENSG00000206980	151747597	151747700	1	q21.3	RNU6-662P
ENSG00000269621	151755541	151759911	1	q21.3	AL589765.7
ENSG00000236940	151757659	151758442	1	q21.3	AL589765.3
ENSG00000143436	151759647	151763496	1	q21.3	MRPL9
ENSG00000143450	151762899	151771334	1	q21.3	OAZ3
ENSG00000249602	151763384	151769501	1	q21.3	AL589765.4
ENSG00000232937	151765709	151766389	1	q21.3	AL589765.2
ENSG00000268288	151766486	151767000	1	q21.3	AL589765.5
ENSG00000182134	151770107	151791416	1	q21.3	TDRKH
ENSG00000203288	151790804	151794402	1	q21.3	TDRKH-AS1
ENSG00000269489	151798054	151798602	1	q21.3	AL589765.6
ENSG00000213171	151800264	151805419	1	q21.3	LINGO4
ENSG00000143365	151806071	151831845	1	q21.3	RORC
ENSG00000225556	151837819	151840557	1	q21.3	C2CD4D
ENSG00000201134	151841736	151841837	1	q21.3	Y_RNA
ENSG00000234614	151841877	151850385	1	q21.3	C2CD4D-AS1
ENSG00000196407	151847101	151853712	1	q21.3	THEM5
ENSG00000159445	151870866	151909637	1	q21.3	THEM4
ENSG00000285651	151885251	151899333	1	q21.3	AL450992.2
ENSG00000286581	151944890	151953985	1	q21.3	AL450992.3
ENSG00000223810	151949523	151950912	1	q21.3	KRT8P28
ENSG00000197747	151982915	151993859	1	q21.3	S100A10
ENSG00000229021	151994531	152042774	1	q21.3	AL450992.1
ENSG00000240667	152018662	152022508	1	q21.3	NBPF18P
ENSG00000163191	152032506	152047907	1	q21.3	S100A11
ENSG00000232678	152077952	152078211	1	q21.3	SPTLC1P4
ENSG00000285818	152079557	152080903	1	q21.3	AL591893.1
ENSG00000182898	152084141	152089064	1	q21.3	TCHHL1
ENSG00000159450	152106317	152115454	1	q21.3	TCHH
ENSG00000226716	152122534	152125065	1	q21.3	AL589986.1
ENSG00000233792	152124016	152196699	1	q21.3	PUDPP2
ENSG00000215853	152153595	152159228	1	q21.3	RPTN
ENSG00000237975	152168125	152445456	1	q21.3	FLG-AS1
ENSG00000236427	152205858	152207057	1	q21.3	AL589986.2
ENSG00000197915	152212076	152224193	1	q21.3	HRNR
ENSG00000143631	152302165	152325239	1	q21.3	FLG
ENSG00000143520	152348735	152360006	1	q21.3	FLG2
ENSG00000183586	152399577	152399769	1	q21.3	HMGN3P1
ENSG00000143536	152409243	152414263	1	q21.3	CRNN
ENSG00000186207	152510803	152512177	1	q21.3	LCE5A
ENSG00000169509	152514482	152516008	1	q21.3	CRCT1
ENSG00000185966	152565654	152566780	1	q21.3	LCE3E
ENSG00000163202	152579381	152580516	1	q21.3	LCE3D
ENSG00000244057	152600662	152601086	1	q21.3	LCE3C
ENSG00000187238	152613811	152614098	1	q21.3	LCE3B
ENSG00000185962	152622834	152623103	1	q21.3	LCE3A
ENSG00000226947	152644393	152644717	1	q21.3	LCEP4
ENSG00000285753	152656332	152656501	1	q21.3	LCEP3
ENSG00000187223	152663380	152664659	1	q21.3	LCE2D
ENSG00000187180	152675295	152676574	1	q21.3	LCE2C
ENSG00000159455	152686123	152687397	1	q21.3	LCE2B
ENSG00000187173	152698345	152699442	1	q21.3	LCE2A
ENSG00000187170	152708160	152709491	1	q21.3	LCE4A
ENSG00000198854	152719522	152720470	1	q21.3	C1orf68
ENSG00000229713	152737518	152737868	1	q21.3	LCEP2
ENSG00000233819	152744299	152744606	1	q21.3	LCEP1
ENSG00000203786	152759561	152762052	1	q21.3	KPRP
ENSG00000240386	152776372	152776728	1	q21.3	LCE1F
ENSG00000186226	152786214	152788426	1	q21.3	LCE1E
ENSG00000172155	152796721	152798181	1	q21.3	LCE1D
ENSG00000197084	152804835	152806628	1	q21.3	LCE1C
ENSG00000196734	152811971	152813108	1	q21.3	LCE1B
ENSG00000186844	152827473	152828097	1	q21.3	LCE1A
ENSG00000235942	152842856	152843983	1	q21.3	LCE6A
ENSG00000285946	152859996	152860985	1	q21.3	AL162596.1
ENSG00000163206	152878322	152885047	1	q21.3	SMCP
ENSG00000163207	152908546	152911886	1	q21.3	IVL
ENSG00000224308	152930040	152949210	1	q21.3	LINC01527
ENSG00000283227	152947154	152949258	1	q21.3	SPRR5
ENSG00000184148	152970648	152972574	1	q21.3	SPRR4
ENSG00000169474	152985231	152985500	1	q21.3	SPRR1A
ENSG00000163209	153001747	153003856	1	q21.3	SPRR3
ENSG00000234262	153023962	153024260	1	q21.3	AL356867.1
ENSG00000252920	153012482	153012614	1	q21.3	AL356867.2
ENSG00000169469	153031203	153032900	1	q21.3	SPRR1B
ENSG00000163216	153039732	153041931	1	q21.3	SPRR2D
ENSG00000241794	153056120	153057512	1	q21.3	SPRR2A
ENSG00000196805	153070224	153070840	1	q21.3	SPRR2B
